algorithm,value,std
sphincsshake256ssimple,597.023,0.41187199999999996
sphincsshake256fsimple,51.617557,0.355578
sphincsshake192ssimple,890.205014,0.356738
sphincsshake192fsimple,28.837056999999998,0.41862699999999997
sphincsshake128ssimple,610.6457720000001,1.111221
sphincsshake128fsimple,24.528515000000002,0.457187
sphincssha2256ssimple,848.214743,0.6387240000000001
sphincssha2256fsimple,67.944343,0.414778
sphincssha2192ssimple,1265.435271,0.6037520000000001
sphincssha2192fsimple,35.913629,0.262203
sphincssha2128ssimple,881.562672,1.28756
sphincssha2128fsimple,29.8293,0.5235329999999999
mldsa87,16.5263,0.550027
mldsa65,15.938570999999998,0.448807
mldsa44,15.499814,0.563791
falcon512,52.483200000000004,6.153409
falcon1024,112.368058,11.264074
RSA,2126.926614,723.8891130000001
EC,15.439172,0.459758
